Designator,Mid X,Mid Y,Rotation,Layer
22UH,143.09,-87.000001,0.0,bottom
BZ1,161.5,-114.0,270.0,top
C1,130.4,-76.6,0.0,top
C10,154.5,-95.0,0.0,top
C11,154.5,-98.0,0.0,top
C12,140.731883,-95.67,90.0,top
C13,140.731883,-99.65,90.0,top
C14,140.719678,-97.711021,90.0,top
C15,154.5,-96.53,0.0,top
C16,154.5,-99.5,0.0,top
C17,154.5,-101.0,0.0,top
C18,154.55,-93.5,0.0,top
C19,150.5,-86.925,270.0,top
C2,128.34,-109.54,0.0,top
C20,148.0,-87.0,270.0,top
C21,145.15,-87.0,270.0,top
C22,164.84,-96.550001,0.0,bottom
C23,164.84,-90.000001,0.0,bottom
C24,164.84,-83.450001,0.0,bottom
C25,160.0,-99.500001,0.0,bottom
C26,157.0,-99.5,0.0,bottom
C27,151.5,-103.544888,270.0,bottom
C28,159.09,-103.544888,270.0,bottom
C3,153.65,-87.0,90.0,top
C4,130.4,-87.1,180.0,top
C5,155.5,-87.0,90.0,top
C6,132.34,-109.04,0.0,top
C7,157.0,-90.5,180.0,top
C8,130.84,-109.52,90.0,top
C9,130.34,-101.54,0.0,top
D1,135.9,-79.92,90.0,top
D2,130.25,-91.77,270.0,top
D3,143.7875,-108.0,0.0,top
D4,143.7875,-110.0,0.0,top
D5,141.2875,-109.0,270.0,top
D6,138.35,-98.275,0.0,bottom
FB1,146.45,-90.3,180.0,top
J1,124.0325,-94.5,270.0,top
J2,146.875,-118.65,180.0,top
J3,166.49999983632077,-78.99999983632074,45.0,top
J4,168.5,-91.46,180.0,top
J5,173.0,-91.5,180.0,top
J6,173.0,-101.5,180.0,top
J7,168.41,-101.46,180.0,top
Q1,150.7,-107.44,270.0,top
R1,134.69,-105.44,90.0,top
R10,154.110569,-108.5,180.0,top
R11,154.110569,-106.585259,180.0,top
R12,146.0,-92.0,0.0,top
R2,158.5,-86.0,180.0,top
R3,159.5,-90.5,180.0,top
R4,135.9,-83.1,90.0,top
R5,143.0,-90.475,180.0,top
R6,145.325,-106.0,0.0,top
R7,146.2875,-109.0,270.0,top
R8,142.0,-106.5,0.0,top
R9,156.0,-121.5,270.0,top
SW1,127.672685,-117.205995,315.0,top
SW2,138.5,-106.5,270.0,top
U1,130.35,-82.0,0.0,top
U2,130.25,-105.05,0.0,top
U3,158.325,-88.2,90.0,top
U4,147.0,-98.0,270.0,top
U5,156.09,-89.500001,0.0,bottom
X1,138.0,-97.15,270.0,top
